sample,catechin_content,tpc,Ic_50
Black beans,14.1,3.40,97.3
Black beans,16.0,3.64,
Black beans,14.4,3.15,
Black chickpeas,187.1,1.20,125.1
Black chickpeas,189.6,1.31,
Black chickpeas,187.8,1.05,
Black lentils,246.5,4.52,68.2
Black lentils,247.9,4.68,
Black lentils,246.3,4.38,
Broad beans,455.6,1.96,68.3
Broad beans,457.9,2.22,
Broad beans,456.0,1.76,
Brown beans,10.8,2.00,73.3
Brown beans,12.4,2.13,
Brown beans,11.0,1.85,
Brown lentils,118.9,1.40,71.0
Brown lentils,120.4,1.68,
Brown lentils,119.1,1.19,
Colfiorito lentils,415.1,2.56,81.6
Colfiorito lentils,416.4,2.69,
Colfiorito lentils,414.6,2.42,
Cramberry beans,614.3,2.24,76.0
Cramberry beans,615.5,2.35,
Cramberry beans,614.3,1.99,
Crimson lentils,402.4,2.36,74.0
Crimson lentils,403.8,2.58,
Crimson lentils,402.1,2.13,
Dehulled eston lentils,85.3,1.40,164.5
Dehulled eston lentils,87.1,1.64,
Dehulled eston lentils,86.0,1.16,
Diavoli beans,170.0,7.16,68.9
Diavoli beans,171.3,7.31,
Diavoli beans,170.0,6.95,
Eston lentils,478.4,2.16,79.6
Eston lentils,480.8,2.4,
Eston lentils,479.0,1.93,
Kabuli chickpeas,31.8,0.88,266.3
Kabuli chickpeas,33.6,1.03,
Kabuli chickpeas,31.9,0.77,
Laird lentils,520.1,2.40,73.5
Laird lentils,522.1,2.62,
Laird lentils,520.4,2.24,
Pavoni beans,302.9,3.88,75.1
Pavoni beans,304.1,4.01,
Pavoni beans,302.3,3.66,
Pinto beans,322.3,2.04,81.8
Pinto beans,323.4,2.19,
Pinto beans,321.8,1.82,
Red kidney beans,60.6,3.00,70.2
Red kidney beans,62.8,3.27,
Red kidney beans,61.3,2.76,
Ruviotto beans,61.6,2.84,72.9
Ruviotto beans,63.3,3.02,
Ruviotto beans,61.4,2.65,
Saluggia beans,279.2,2.64,71.8
Saluggia beans,280.9,2.81,
Saluggia beans,279.2,2.52,
Stregoni beans,457.9,2.12,71.1
Stregoni beans,459.8,2.36,
Stregoni beans,458.2,1.99,
Verdolino beans,82.7,3.44,68.8
Verdolino beans,83.9,3.57,
Verdolino beans,82.8,3.32,
